StorageUnit,bus,control,type,p_nom,p_nom_mod,p_nom_extendable,p_nom_min,p_nom_max,p_min_pu,p_max_pu,p_set,q_set,sign,carrier,spill_cost,marginal_cost,marginal_cost_quadratic,marginal_cost_storage,capital_cost,active,build_year,lifetime,state_of_charge_initial,state_of_charge_initial_per_period,state_of_charge_set,cyclic_state_of_charge,cyclic_state_of_charge_per_period,max_hours,efficiency_store,efficiency_dispatch,standing_loss,inflow,p_nom_opt,annual_fixed_costs,total_capital_cost
TWN-PumpedHydro-2024active_exo,TWN,PQ,PumpedHydro,2602.0,0.0,False,2602.0,inf,-1.0,1.0,0.0,0.0,1.0,PumpedHydro,0.0,0.0,0.0,0.0,248896.2857020602,True,2024,50.0,0.0,False,,False,True,8.0,0.8,0.8,0.0,0.0,0.0,20150.0,4019715.267
TWN-PumpedHydro-2030_endo,TWN,PQ,PumpedHydro,0.0,0.0,True,0.0,inf,-1.0,1.0,0.0,0.0,1.0,PumpedHydro,0.0,0.0,0.0,0.0,248896.2857020602,True,2030,50.0,0.0,False,,False,True,8.0,0.8,0.8,0.0,0.0,0.0,20150.0,4019715.267
TWN-PumpedHydro-2030_exo,TWN,PQ,PumpedHydro,0.0,0.0,False,0.0,inf,-1.0,1.0,0.0,0.0,1.0,PumpedHydro,0.0,0.0,0.0,0.0,248896.2857020602,True,2030,50.0,0.0,False,,False,True,8.0,0.8,0.8,0.0,0.0,0.0,20150.0,4019715.267
TWN-Batteries-2024active_exo,TWN,PQ,Batteries,432.0,0.0,False,432.0,inf,-1.0,1.0,0.0,0.0,1.0,Batteries,0.0,0.0,0.0,0.0,208033.68749282122,True,2024,15.0,0.0,False,,False,True,4.0,0.95,0.95,0.0,0.0,0.0,32504.0,1791537.0
TWN-Batteries-2030_endo,TWN,PQ,Batteries,0.0,0.0,True,0.0,595.77,-1.0,1.0,0.0,0.0,1.0,Batteries,0.0,0.0,0.0,0.0,208033.68749282122,True,2030,15.0,0.0,False,,False,True,6.0,0.95,0.95,0.0,0.0,0.0,32504.0,1791537.0
TWN-Batteries-2030_exo,TWN,PQ,Batteries,1553.9,0.0,False,1553.9,inf,-1.0,1.0,0.0,0.0,1.0,Batteries,0.0,0.0,0.0,0.0,208033.68749282122,True,2030,15.0,0.0,False,,False,True,6.0,0.95,0.95,0.0,0.0,0.0,32504.0,1791537.0
TWN-LAES-2030_endo,TWN,PQ,LAES,0.0,0.0,True,0.0,inf,-1.0,1.0,0.0,0.0,1.0,LAES,0.0,0.0,0.0,0.0,470576.2097787173,True,2030,40.0,0.0,False,,False,True,168.0,0.85,0.7,0.0,0.0,0.0,108858.0,6000000.0
TWN C&I Grid-Batteries,TWN C&I Storage,PQ,,0.0,0.0,False,0.0,inf,-1.0,1.0,0.0,0.0,1.0,Batteries,0.0,0.0,0.0,0.0,208033.68749282122,True,2030,inf,0.0,False,,True,True,6.0,0.95,0.95,0.0,0.0,0.0,,
