Generator,bus,control,type,p_nom,p_nom_mod,p_nom_extendable,p_nom_min,p_nom_max,p_min_pu,p_max_pu,p_set,e_sum_min,e_sum_max,q_set,sign,carrier,marginal_cost,marginal_cost_quadratic,active,build_year,lifetime,capital_cost,efficiency,committable,start_up_cost,shut_down_cost,stand_by_cost,min_up_time,min_down_time,up_time_before,down_time_before,ramp_limit_up,ramp_limit_down,ramp_limit_start_up,ramp_limit_shut_down,weight,p_nom_opt,generation_blend_share,p_nom_max_cfe,technology,annual_fixed_costs,total_capital_cost,min_utilisation_rate,is_blend_or_ccs,max_utilisation_rate
TWN-Geothermal-2030_endo,TWN,PQ,geothermal-unspecified,0.0,0.0,True,0.0,inf,0.0,1.0,0.0,-inf,inf,0.0,1.0,Geothermal,0.0,0.0,True,2030,40.0,930078.0,1.0,False,0.0,0.0,0.0,0,0,1,0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,,geothermal-unspecified,334722.72,9875460.0,,False,0.32
TWN-Geothermal-2030_exo,TWN,PQ,geothermal-unspecified,1193.0,0.0,False,1193.0,inf,0.0,1.0,0.0,-inf,inf,0.0,1.0,Geothermal,0.0,0.0,True,2030,40.0,930078.0,1.0,False,0.0,0.0,0.0,0,0,1,0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,,geothermal-unspecified,334722.72,9875460.0,,False,0.32
TWN-Solar-2024active_exo,TWN,PQ,solar-unspecified,14281.0,0.0,False,14281.0,inf,0.0,1.0,0.0,-inf,inf,0.0,1.0,Solar,0.0,0.0,True,2024,20.0,0.0,1.0,False,0.0,0.0,0.0,0,0,1,0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,,solar-unspecified,0.0,0.0,,False,
TWN-Solar-2030_endo,TWN,PQ,solar-unspecified,0.0,0.0,True,0.0,inf,0.0,1.0,0.0,-inf,inf,0.0,1.0,Solar,0.0,0.0,True,2030,20.0,102039.0,1.0,False,0.0,0.0,0.0,0,0,1,0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,4660.0,solar-unspecified,39501.84,763090.0,,False,
TWN-Solar-2030_exo,TWN,PQ,solar-unspecified,16919.0,0.0,False,16919.0,inf,0.0,1.0,0.0,-inf,inf,0.0,1.0,Solar,0.0,0.0,True,2030,20.0,102039.0,1.0,False,0.0,0.0,0.0,0,0,1,0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,,solar-unspecified,39501.84,763090.0,,False,
TWN-OffshoreWind-2024active_exo,TWN,PQ,offshorewind-unspecified,2962.843,0.0,False,2962.843,inf,0.0,1.0,0.0,-inf,inf,0.0,1.0,OffshoreWind,0.0,0.0,True,2024,25.0,0.0,1.0,False,0.0,0.0,0.0,0,0,1,0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,,offshorewind-unspecified,0.0,0.0,,False,
TWN-OffshoreWind-2030_endo,TWN,PQ,offshorewind-unspecified,0.0,0.0,True,0.0,inf,0.0,1.0,0.0,-inf,inf,0.0,1.0,OffshoreWind,0.0,0.0,True,2030,25.0,395805.0,1.0,False,0.0,0.0,0.0,0,0,1,0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,,offshorewind-unspecified,109584.71,3934799.0,,False,
TWN-OffshoreWind-2030_exo,TWN,PQ,offshorewind-unspecified,7900.0,0.0,False,7900.0,inf,0.0,1.0,0.0,-inf,inf,0.0,1.0,OffshoreWind,0.0,0.0,True,2030,25.0,395805.0,1.0,False,0.0,0.0,0.0,0,0,1,0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,,offshorewind-unspecified,109584.71,3934799.0,,False,
TWN-OnshoreWind-2024active_exo,TWN,PQ,onshorewind-unspecified,927.4037,0.0,False,927.4037,inf,0.0,1.0,0.0,-inf,inf,0.0,1.0,OnshoreWind,0.0,0.0,True,2024,25.0,0.0,1.0,False,0.0,0.0,0.0,0,0,1,0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,,onshorewind-unspecified,0.0,0.0,,False,
TWN-OnshoreWind-2030_endo,TWN,PQ,onshorewind-unspecified,0.0,0.0,True,0.0,0.0,0.0,1.0,0.0,-inf,inf,0.0,1.0,OnshoreWind,0.0,0.0,True,2030,25.0,158147.0,1.0,False,0.0,0.0,0.0,0,0,1,0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1250.0,onshorewind-unspecified,71430.62,1192137.672,,False,
TWN-OnshoreWind-2030_exo,TWN,PQ,onshorewind-unspecified,324.5963,0.0,False,324.5963,inf,0.0,1.0,0.0,-inf,inf,0.0,1.0,OnshoreWind,0.0,0.0,True,2030,25.0,158147.0,1.0,False,0.0,0.0,0.0,0,0,1,0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,,onshorewind-unspecified,71430.62,1192137.672,,False,
TWN-CoGen_coal-2024active_exo,TWN,PQ,coal-cogeneration,1438.0,0.0,False,1438.0,inf,0.0,1.0,0.0,-inf,inf,0.0,1.0,CoGen_coal,74.91,0.0,True,2024,25.0,0.0,0.35,False,0.0,0.0,0.0,0,0,1,0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,,coal-cogeneration,0.0,0.0,,False,
TWN-CoGen_coal-2030_exo,TWN,PQ,coal-cogeneration,0.0,0.0,False,0.0,inf,0.0,1.0,0.0,-inf,inf,0.0,1.0,CoGen_coal,74.91,0.0,True,2030,25.0,0.0,0.35,False,0.0,0.0,0.0,0,0,1,0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,,coal-cogeneration,0.0,0.0,,False,
TWN-CoGen_biogas_waste-2024active_exo,TWN,PQ,biogas_waste-cogeneration,442.0,0.0,False,442.0,inf,0.0,1.0,0.0,-inf,inf,0.0,1.0,CoGen_biogas_waste,225.22,0.0,True,2024,25.0,0.0,0.17,False,0.0,0.0,0.0,0,0,1,0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,,biogas_waste-cogeneration,0.0,0.0,,False,
TWN-CoGen_biogas_waste-2030_exo,TWN,PQ,biogas_waste-cogeneration,0.0,0.0,False,0.0,inf,0.0,1.0,0.0,-inf,inf,0.0,1.0,CoGen_biogas_waste,156.42,0.0,True,2030,25.0,0.0,0.17,False,0.0,0.0,0.0,0,0,1,0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,,biogas_waste-cogeneration,0.0,0.0,,False,
TWN-BlueH2-2030_exo,TWN,PQ,blending-blueH2-gas-unspecified,0.0,0.0,False,0.0,inf,0.0,1.0,0.0,-inf,inf,0.0,1.0,BlueH2,70.75,0.0,True,2030,40.0,168837.0,0.59,False,0.0,0.0,0.0,0,0,1,0,1.0,1.0,1.0,1.0,1.0,0.0,0.1,,blending-blueH2-gas-unspecified,76835.99,1526071.0,,True,0.66
TWN-BlueH2_Gas-2030_exo,TWN,PQ,blending-blueH2-gas-unspecified,0.0,0.0,False,0.0,inf,0.0,1.0,0.0,-inf,inf,0.0,1.0,BlueH2_Gas,70.75,0.0,True,2030,40.0,168837.0,0.59,False,0.0,0.0,0.0,0,0,1,0,1.0,1.0,1.0,1.0,1.0,0.0,0.9,,blending-blueH2-gas-unspecified,76835.99,1526071.0,,True,0.66
TWN-GasCCSLeaked-2030_exo,TWN,PQ,gas-CCS-unspecified,0.0,0.0,False,0.0,inf,0.0,1.0,0.0,-inf,inf,0.0,1.0,GasCCSLeaked,75.46,0.0,True,2030,30.0,310070.0,0.49,False,0.0,0.0,0.0,0,0,1,0,1.0,1.0,1.0,1.0,1.0,0.0,0.3,,gas-CCS-unspecified,124330.37,2775669.18,,True,0.66
