Generator,bus,control,type,p_nom,p_nom_mod,p_nom_extendable,p_nom_min,p_nom_max,p_min_pu,p_max_pu,p_set,e_sum_max,q_set,sign,carrier,marginal_cost,marginal_cost_quadratic,active,build_year,lifetime,capital_cost,efficiency,committable,start_up_cost,shut_down_cost,stand_by_cost,min_up_time,min_down_time,up_time_before,down_time_before,ramp_limit_up,ramp_limit_down,ramp_limit_start_up,ramp_limit_shut_down,weight,generation_blend_share,is_blend_or_ccs,max_utilisation_rate,min_utilisation_rate,total_capital_cost,annual_fixed_costs
IDNKA-bioenergy-unspecified-ext-2030,IDNKA,PQ,bioenergy-unspecified,2.4,0,TRUE,2.4,10590,0,0.6,0,inf,0,1,biomass,1.6,0,TRUE,2030,25,311264.67,0.32,FALSE,0,0,0,0,0,1,0,1,1,0,0,1,0,0,0.85,0,2150000,69100
THANO-bioenergy-unspecified-ext-2030,THANO,PQ,bioenergy-unspecified,277.9,0,TRUE,277.9,6000,0,0.6,0,inf,0,1,biomass,151.5,0,TRUE,2030,25,311264.67,0.32,FALSE,0,0,0,0,0,1,0,1,1,0,0,1,0,0,0.85,0,2150000,69100
THACE-bioenergy-unspecified-ext-2030,THACE,PQ,bioenergy-unspecified,444,0,TRUE,444,6000,0,0.6,0,inf,0,1,biomass,151.5,0,TRUE,2030,25,311264.67,0.32,FALSE,0,0,0,0,0,1,0,1,1,0,0,1,0,0,0.85,0,2150000,69100
THASO-bioenergy-unspecified-ext-2030,THASO,PQ,bioenergy-unspecified,73,0,TRUE,73,6000,0,0.6,0,inf,0,1,biomass,151.5,0,TRUE,2030,25,311264.67,0.32,FALSE,0,0,0,0,0,1,0,1,1,0,0,1,0,0,0.85,0,2150000,69100
SGPXX-bioenergy-unspecified-ext-2030,SGPXX,PQ,bioenergy-unspecified,278,0,TRUE,278,280,0,0.6,0,inf,0,1,biomass,144.071,0,TRUE,2030,25,319841.53,0.32,FALSE,0,0,0,0,0,1,0,1,1,0,0,1,0,0,0.85,0,2340686,56199
MYSPE-bioenergy-unspecified-ext-2030,MYSPE,PQ,bioenergy-unspecified,0,0,TRUE,0,2200,0,0.6,0,inf,0,1,biomass,144.071,0,TRUE,2030,25,319841.53,0.32,FALSE,0,0,0,0,0,1,0,1,1,0,0,1,0,0,0.85,0,2340686,56199
MYSSH-bioenergy-unspecified-ext-2030,MYSSH,PQ,bioenergy-unspecified,0,0,TRUE,0,800,0,0.6,0,inf,0,1,biomass,144.071,0,TRUE,2030,25,319841.53,0.32,FALSE,0,0,0,0,0,1,0,1,1,0,0,1,0,0,0.85,0,2340686,56199
MYSSK-bioenergy-unspecified-ext-2030,MYSSK,PQ,bioenergy-unspecified,0,0,TRUE,0,600,0,0.6,0,inf,0,1,biomass,144.071,0,TRUE,2030,25,319841.53,0.32,FALSE,0,0,0,0,0,1,0,1,1,0,0,1,0,0,0.85,0,2340686,56199
IDNKA-combined-cycle-ext-2030,IDNKA,PQ,combined-cycle,501,0,TRUE,501,inf,0.3,0.9,0,inf,0,1,gas,40.183,0,TRUE,2030,40,91826.26,0.57,FALSE,34.2,0,0,3,2,1,0,1,1,0.45,0.45,1,0,0,0.85,0,660000,22800
MYSPE-combined-cycle-ext-2030,MYSPE,PQ,combined-cycle,7998,0,TRUE,7998,inf,0,0.9,0,inf,0,1,gas,56.334,0,TRUE,2030,40,151923.38,0.56,FALSE,34.2,0,0,3,2,1,0,1,1,0.45,0.45,1,0,0,0.85,0,1127591,33994
MYSSH-combined-cycle-ext-2030,MYSSH,PQ,combined-cycle,1098,0,TRUE,1098,inf,0.3,0.9,0,inf,0,1,gas,56.334,0,TRUE,2030,40,151923.38,0.56,FALSE,34.2,0,0,3,2,1,0,1,1,0.45,0.45,1,0,0,0.85,0,1127591,33994
MYSSK-combined-cycle-ext-2030,MYSSK,PQ,combined-cycle,1659,0,TRUE,1659,inf,0.3,0.9,0,inf,0,1,gas,56.334,0,TRUE,2030,40,151923.38,0.56,FALSE,34.2,0,0,3,2,1,0,1,1,0.45,0.45,1,0,0,0.85,0,1127591,33994
THANO-combined-cycle-ext-2030,THANO,PQ,combined-cycle,966,0,TRUE,966,inf,0.4,0.9,0,inf,0,1,gas,58.617,0,TRUE,2030,40,96245.04,0.56,FALSE,34.2,0,0,3,2,1,0,1,1,0.45,0.45,1,0,0,0.85,0,657500,25050
THACE-combined-cycle-ext-2030,THACE,PQ,combined-cycle,29900.55,0,TRUE,29900.55,inf,0.4,0.9,0,inf,0,1,gas,58.617,0,TRUE,2030,40,96245.04,0.56,FALSE,34.2,0,0,3,2,1,0,1,1,0.45,0.45,1,0,0,0.85,0,657500,25050
THASO-combined-cycle-ext-2030,THASO,PQ,combined-cycle,2690,0,TRUE,2690,inf,0.4,0.9,0,inf,0,1,gas,58.617,0,TRUE,2030,40,96245.04,0.56,FALSE,34.2,0,0,3,2,1,0,1,1,0.45,0.45,1,0,0,0.85,0,657500,25050
SGPXX-combined-cycle-ext-2030,SGPXX,PQ,combined-cycle,9925,0,TRUE,9925,inf,0.5,0.9,0,inf,0,1,gas,65.132,0,TRUE,2030,40,151923.38,0.56,FALSE,34.2,0,0,3,2,1,0,1,1,0.45,0.45,1,0,0,0.85,0,1127591,33994
IDNKA-coal-subcritical-ext-2030,IDNKA,PQ,coal-subcritical,2454,0,TRUE,2454,inf,0,0.9,0,inf,0,1,coal,27.95,0,TRUE,2030,30,211236.39,0.35,FALSE,35.64,0,0,5,6,1,0,1,1,0.38,0.38,1,0,0,0.85,0,1600000,43900
MYSPE-coal-subcritical-ext-2030,MYSPE,PQ,coal-subcritical,1400,0,TRUE,1400,inf,0.4,0.9,0,inf,0,1,coal,47.31,0,TRUE,2030,30,234458.55,0.35,FALSE,35.64,0,0,5,6,1,0,1,1,0.38,0.38,1,0,0,0.85,0,1881437,37688
MYSSK-coal-subcritical-ext-2030,MYSSK,PQ,coal-subcritical,270,0,TRUE,270,inf,0.4,0.9,0,inf,0,1,coal,16.545,0,TRUE,2030,30,234458.55,0.35,FALSE,35.64,0,0,5,6,1,0,1,1,0.38,0.38,1,0,0,0.85,0,1881437,37688
THANO-coal-subcritical-ext-2030,THANO,PQ,coal-subcritical,2360,0,TRUE,2360,inf,0.4,0.9,0,inf,0,1,coal,47.175,0,TRUE,2030,30,211236.39,0.35,FALSE,35.64,0,0,5,6,1,0,1,1,0.38,0.38,1,0,0,0.85,0,1575000,43300
THACE-coal-subcritical-ext-2030,THACE,PQ,coal-subcritical,2291,0,TRUE,2291,inf,0.4,0.9,0,inf,0,1,coal,47.175,0,TRUE,2030,30,211236.39,0.35,FALSE,35.64,0,0,5,6,1,0,1,1,0.38,0.38,1,0,0,0.85,0,1575000,43300
IDNKA-coal-supercritical-ext-2030,IDNKA,PQ,coal-supercritical,0,0,FALSE,0,inf,0,0.9,0,inf,0,1,coal,27.85,0,TRUE,2030,30,182235.93,0.38,FALSE,35.64,0,0,5,6,1,0,1,1,0.38,0.38,1,0,0,0.85,0,1360000,40000
MYSPE-coal-supercritical-ext-2030,MYSPE,PQ,coal-supercritical,0,0,FALSE,0,inf,0.4,0.9,0,inf,0,1,coal,44.759,0,TRUE,2030,30,234868.3,0.38,FALSE,35.64,0,0,5,6,1,0,1,1,0.38,0.38,1,0,0,0.85,0,1752688,51563
MYSSH-coal-supercritical-ext-2030,MYSSH,PQ,coal-supercritical,0,0,FALSE,0,inf,0.4,0.9,0,inf,0,1,coal,44.759,0,TRUE,2030,30,234868.3,0.38,FALSE,35.64,0,0,5,6,1,0,1,1,0.38,0.38,1,0,0,0.85,0,1752688,51563
MYSSK-coal-supercritical-ext-2030,MYSSK,PQ,coal-supercritical,0,0,FALSE,0,inf,0.4,0.9,0,inf,0,1,coal,14.873,0,TRUE,2030,30,234868.3,0.38,FALSE,35.64,0,0,5,6,1,0,1,1,0.38,0.38,1,0,0,0.85,0,1752688,51563
THANO-coal-supercritical-ext-2030,THANO,PQ,coal-supercritical,0,0,FALSE,0,inf,0.4,0.9,0,inf,0,1,coal,47.075,0,TRUE,2030,30,186192.27,0.38,FALSE,35.64,0,0,5,6,1,0,1,1,0.38,0.38,1,0,0,0.85,0,1380000,38300
THACE-coal-supercritical-ext-2030,THACE,PQ,coal-supercritical,660,0,FALSE,660,inf,0.4,0.9,0,inf,0,1,coal,47.075,0,TRUE,2030,30,186192.27,0.38,FALSE,35.64,0,0,5,6,1,0,1,1,0.38,0.38,1,0,0,0.85,0,1380000,38300
THASO-coal-supercritical-ext-2030,THASO,PQ,coal-supercritical,0,0,FALSE,0,inf,0.4,0.9,0,inf,0,1,coal,47.075,0,TRUE,2030,30,186192.27,0.38,FALSE,35.64,0,0,5,6,1,0,1,1,0.38,0.38,1,0,0,0.85,0,1380000,38300
SGPXX-coal-supercritical-ext-2030,SGPXX,PQ,coal-supercritical,0,0,FALSE,0,inf,0,0.9,0,inf,0,1,coal,44.759,0,TRUE,2030,30,234868.3,0.38,FALSE,35.64,0,0,5,6,1,0,1,1,0.38,0.38,1,0,0,0.85,0,1752688,51563
